Page,NGC,Type,1951.0+2304,Mag.,Size,Coord.,Description
,205,G,And,8,17.4,0040.4+4141,M110
,404,G,And,10.7,2.1x2.0,0109.4+3543,el circular beautiful brt nucleu
,752,OC,And,5.7,50,0157.8+3741,70 stars large scattered outward
,891,G,And,11.5,11.8X1.1,0222.6+4221,sp extremely elongated edge-on
4,7662,PN,And,9,32x23,2325.9+4233,blue-green oval bright dense
,7686,OC,And,5.6,7.4,2330.2+4908,35 stars loose poor 1 red/orange
,6755,OC,Aql,9,10,1907.8+0414,35 stars large loose fairly rich
,6756,OC,Aql,10.7,3,1908.7+0441,very difficult like a globular
,6781,PN,Aql,11,106,1918.4+0633,circular nebulous no color
,7009,PN,Aqr,8.4,44x2,2104.2-1122,Saturn Nebula
,7606,G,Aqr,10.8,4.4x1.5,2319.1-0829,sp elongated elusive large
,7723,G,Aqr,11.1,2.2x1.6,2338.9-1258,Bsp faint small elusive
,7727,G,Aqr,10.7,2.7,2339.9-1218,sp elusive slightly elongated
,772,G,Ari,10.9,5x3,0159.3+1901,sp elongated elusive
5,1664,OC,Aur,7.5,15,0451.1+4342,25 stars faint rich elongated
,1857,OC,Aur,8.5,9,0520.2+3921,30 stars no shape poor loose
4,1907,OC,Aur,9.9,5,0528.0+3519,tight some nebulosity richish
6,1931,DN,Aur,9.5,3x3,0531.4+3415,starlike with nebulosity around
6,2126,OC,Aur,10,6.5,0603.0+4954,28 stars faint poor blue white
,2281,OC,Aur,6.9,17,0649.3+4104,30 stars bright lg easy
,5248,G,Boo,11.3,6.1x4.4,1337.5+0853,sp lg oval brt nucleus av
,5466,GC,Boo,8.5,5,1405.5+2832,large diffuse faint oval elusive
,5557,G,Boo,11.6,.9x.8,1418.4+3630,el small brt nucleus nebulosity
,5676,G,Boo,11.2,3x1,1432.8+4928,sp very faint large oval
,5689,G,Boo,11.4,2x.5,1435.5+4845,sp faint slight elongated elus
,1501,PN,Cam,13.3,,0407.0+6055,round distict blue-green
,1502,OC,Cam,5.3,7,0407.7+6220,15 stars compact cross-bow doubl
,1961,G,Cam,11.7,3.7x1.6,0542.1+6923,sp faint elus fuzzy sl elongated
,2403,G,Cam,8.9,16.8x10,0736.9+6536,sp lg sl elon face on faint star
